bsp_IP,bsp_IP2
07/12/2019,146.9387946
16/12/2019,17.02094732
18/12/2019,30
04/01/2020,19.5
30/01/2020,42
07/02/2020,30
07/02/2020,7.556837935
07/02/2020,23.36703055
13/02/2020,50.36422052
03/07/2020,17.5
17/07/2020,18
25/07/2020,9.6
29/07/2020,45.29300025
03/08/2020,12
03/08/2020,12.84031738
10/08/2020,16.04015989
18/10/2020,27
29/11/2020,16.92525151
17/01/2021,30.25191693
22/01/2021,220
17/02/2021,14.83861182
01/03/2021,36
26/03/2021,46.34070369
05/04/2021,42.52978232
09/04/2021,17.21673308
24/04/2021,44.22700655
09/05/2021,6.602285568
11/05/2021,23
20/05/2021,60.4343554
27/05/2021,20
02/08/2021,48
12/09/2021,160
02/11/2021,19.28235875
04/11/2021,8.563698469
13/11/2021,9.4
08/12/2021,8.390663434
27/12/2021,147.8771638
31/01/2022,146.728111
29/04/2022,76.08604931
11/05/2022,36
12/05/2022,9.086213109
14/05/2022,5.904706224
20/05/2022,55
25/05/2022,12.50441675
18/06/2022,23.90475051
07/07/2022,19.52051824
06/08/2022,25
19/08/2022,65
20/08/2022,8.838774717
13/09/2022,10.87216365
11/10/2022,151.2796348
19/10/2022,9.965651382
19/10/2022,220
