 ,Series 1
2.923522,-2.149401
4.978227,-2.188215
6.974402,-2.356036
9.315814,-3.02292
12.526272,-1.461101
17.025886,1.0898
23.865457,-0.362856
36.176063,0.122763
69.054002,-5.109865
293.547771,-14.462441
