 ,Series 1
2.934837,-2.135374
5.013405,-2.190577
7.072399,-2.458527
9.467387,-3.171291
12.672198,-0.870081
17.32581,0.83142
24.658753,-0.41745
37.926488,-1.031373
76.531271,-5.511036
407.346288,-20.632672
