 ,Series 1
6,-3234.102915
6.8,-4143.609307
8.3,-3216.549593
9.7,-2353.248791
11.7,-3434.134756
13.7,-3626.604168
16.5,-365.540412
19.6,-260.377286
25.1,1258.423853
32.6,4133.861798
