 ,Series 1
2010,668.143441
2011,1674.813437
2012,145.771858
2013,1195.428982
2014,-165.193922
2015,-350.537869
2016,162.761512
2017,328.556138
2018,234.026541
2019,188.352121
2020,331.846632
2021,-155.810277
2022,12.84806
